,Kingdom,Phylum,Class,Order,Family,Genus,Species,name,p0.00005.r0.6,p0.00001.r0.6,p0.000005.r0.6,p0.000001.r0.6,p0.00005.r0.8,p0.00001.r0.8,p0.000005.r0.8,p0.000001.r0.8
Botu00013,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,Botu00013,1,0,0,0,1,0,0,0
Botu00288,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellales_unclassified,Gaiellales_unclassified,NA,Botu00288,1,0,1,0,1,0,1,0
Botu01137,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus_Koribacter,NA,Botu01137,1,1,1,1,1,1,1,1
Botu01144,Bacteria,Acidobacteria,Acidobacteriia,Subgroup_2,Subgroup_2_fa,Subgroup_2_ge,NA,Botu01144,1,1,1,1,1,1,1,1
Botu01309,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),uncultured,NA,Botu01309,1,0,0,0,1,0,0,0
Botu01811,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,NA,Botu01811,1,0,0,0,1,0,0,0
Botu00504,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),Blastocatellales,Blastocatellaceae,uncultured,NA,Botu00504,1,1,1,0,1,1,1,0
Botu01934,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge,NA,Botu01934,1,1,1,1,1,1,1,1
Botu02654,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,NA,Botu02654,1,1,0,0,1,1,0,0
Otu00217,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,f__Nectriaceae_unclassified,f__Nectriaceae_unclassified,Otu00217,1,0,0,0,1,0,0,0
Botu00506,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,uncultured,uncultured_ge,NA,Botu00506,1,1,0,0,1,1,0,0
Botu00016,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus_Xiphinematobacter,NA,Botu00016,1,1,0,0,1,1,0,0
Botu00049,Bacteria,Actinobacteria,MB-A2-108,MB-A2-108_or,MB-A2-108_fa,MB-A2-108_ge,NA,Botu00049,1,1,0,1,1,1,0,1
Botu00054,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,67-14_ge,NA,Botu00054,1,1,1,1,1,1,1,1
Botu00072,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,NA,Botu00072,1,1,1,1,1,1,1,1
Botu00107,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,uncultured,NA,Botu00107,1,1,1,1,1,1,1,1
Botu00173,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,uncultured,uncultured_ge,NA,Botu00173,1,0,0,1,1,0,0,1
Botu00226,Bacteria,Acidobacteria,Subgroup_5,Subgroup_5_or,Subgroup_5_fa,Subgroup_5_ge,NA,Botu00226,1,0,1,1,1,0,1,1
Botu00239,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured_ge,NA,Botu00239,1,1,0,0,1,1,0,0
Botu00247,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonadaceae_unclassified,NA,Botu00247,1,1,1,0,1,1,1,0
